transactionTimestamp,txnId,mode,amount,balance,type,narration,reference,valueDate
2019-08-01T019:38:02.000Z,M63132270,FT,150000,539769,CREDIT,salfintechproductsandsolutions August 2019,RFN79769386,2019-08-01
2019-08-01T017:27:37.000Z,M61140660,FT,3567,536202,DEBIT,ACH/maxlifeinsurance/978958600/5091047448,RFN54369752,2019-08-01
2019-08-01T019:48:36.000Z,M15100170,FT,5000,531202,DEBIT,BIL/BPAY/432994770625/motilaloswal/1771516350,RFN01307576,2019-08-01
2019-08-01T016:23:43.000Z,M42486489,FT,9000,522202,DEBIT,BIL/INF/282011610769/principalmutualfund/5014687117,RFN58783355,2019-08-01
2019-08-01T015:00:55.000Z,M92803625,FT,11345,510857,DEBIT,MMT/IMPS/974561764045/pnbpersonalloan/axis/SIB,RFN06186493,2019-08-01
2019-08-02T016:53:02.000Z,M63655895,FT,50,510807,DEBIT,UPI/506718301363/order/amul/okicici,RFN94034773,2019-08-02
2019-08-03T015:32:06.000Z,M96840288,FT,2231,508576,DEBIT,IPS/spencers/810835017872/256145420421/BANGALORE,RFN96822221,2019-08-03
2019-08-03T008:30:03.000Z,M51185347,FT,14583,493993,DEBIT,MMT/IMPS/142088569622/idbihomeloan/axis/SBIN,RFN33041124,2019-08-03
2019-08-04T013:29:12.000Z,M13469397,FT,12000,481993,DEBIT,MMT/IMPS/215925743911/rent/axis/BLR,RFN11807317,2019-08-04
2019-08-04T004:59:09.000Z,M36739380,FT,242,481751,DEBIT,VIN/burgerking/457855649189/729428881661,RFN86024827,2019-08-04
2019-08-05T002:27:07.000Z,M75996309,FT,330,481421,DEBIT,UPI/586443110699/order/uber/okhdfcbank,RFN89824259,2019-08-05
2019-08-05T017:39:50.000Z,M34495073,FT,1380,480041,DEBIT,UPI/098422640356/order/bescom/ybl,RFN04689435,2019-08-05
2019-08-07T018:35:25.000Z,M05303476,FT,1500,478541,DEBIT,VIN/indianoil/939947558663/833821338689,RFN59388177,2019-08-07
2019-08-08T000:09:21.000Z,M07733887,FT,200,478341,DEBIT,UPI/562288631583/order/kwalitybazaar/upi,RFN96097105,2019-08-08
2019-08-09T017:46:47.000Z,M78743336,FT,1299,477042,DEBIT,UPI/157657395315/order/ionbroadband/okaxis,RFN23760737,2019-08-09
2019-08-10T020:05:17.000Z,M35768082,FT,399,476643,DEBIT,UPI/618592981121/order/jio/oksbi,RFN01822713,2019-08-10
2019-08-12T017:04:04.000Z,M21276964,FT,3289,473354,DEBIT,VPS/veromoda/244841026362/700465092525/BANGALORE,RFN62136499,2019-08-12
2019-08-12T000:02:11.000Z,M10964413,FT,1110,472244,DEBIT,IPS/beijingbites/567919602787/844170544653/BANGALORE,RFN77060963,2019-08-12
2019-08-15T009:26:32.000Z,M77387267,FT,180,472064,DEBIT,UPI/671010149775/order/amul/okhdfcbank,RFN11992280,2019-08-15
2019-08-18T017:09:15.000Z,M74247698,FT,419,471645,DEBIT,UPI/803549937513/order/1mg/upi,RFN09387717,2019-08-18
2019-08-18T017:27:11.000Z,M96827610,FT,350,471295,DEBIT,VIN/tatasky/233675787126/290168960433,RFN29485340,2019-08-18
2019-08-22T019:56:18.000Z,M87023371,FT,799,470496,DEBIT,IIN/I-Debit/netflix/580064550900/792760485026,RFN03958130,2019-08-22
2019-08-24T016:21:18.000Z,M54067383,FT,299,470197,DEBIT,VPS/pvr/005335727812/292810391662/BLR,RFN66284485,2019-08-24
2019-08-25T011:22:18.000Z,M43929380,FT,150,470047,DEBIT,UPI/788562080526/order/amul/upi,RFN77230602,2019-08-25
2019-08-28T017:28:52.000Z,M62347463,FT,5201,464846,DEBIT,ACH/indiafirstlifeinsurance/869552456/9625200416,RFN63651050,2019-08-28
2019-08-28T014:28:39.000Z,M63133976,FT,99,464747,DEBIT,UPI/395709773838/order/kwalitybazaar/oksbi,RFN90697085,2019-08-28
2019-08-31T012:57:27.000Z,M67511010,FT,25005,439742,DEBIT,MMT/IMPS/554837900296/axisprivilegeccpmt/axis/SBIN,RFN07229396,2019-08-31
2019-08-31T005:54:09.000Z,M63275494,FT,15542,424200,DEBIT,MMT/IMPS/667892428773/sbieliteccpmt/axis/SIB,RFN01237317,2019-08-31
2019-09-01T005:58:50.000Z,M00513734,FT,150000,574200,CREDIT,salfintechproductsandsolutions September 2019,RFN14181341,2019-09-01
2019-09-01T011:40:59.000Z,M84994153,FT,3567,570633,DEBIT,ACH/maxlifeinsurance/938423614/2163067846,RFN39455552,2019-09-01
2019-09-01T021:39:33.000Z,M89625317,FT,11345,559288,DEBIT,MMT/IMPS/621898646336/pnbpersonalloan/axis/KIN,RFN03118183,2019-09-01
2019-09-01T003:18:31.000Z,M02157109,FT,5000,554288,DEBIT,BIL/ONL/030734384765/motilaloswal/5157797573,RFN89485245,2019-09-01
2019-09-01T018:53:42.000Z,M09669801,FT,9000,545288,DEBIT,BIL/INF/660869989301/principalmutualfund/2623555986,RFN85115506,2019-09-01
2019-09-03T018:56:06.000Z,M01958769,FT,80,545208,DEBIT,UPI/122070440047/order/skrolls/okicici,RFN40173634,2019-09-03
2019-09-03T014:25:05.000Z,M13791524,FT,100,545108,DEBIT,UPI/153449994389/order/amul/okaxis,RFN10514694,2019-09-03
2019-09-03T022:37:03.000Z,M84206974,FT,1588,543520,DEBIT,IPS/spencers/406647577386/545422652701/BANGALORE,RFN89776858,2019-09-03
2019-09-03T023:13:59.000Z,M20968754,FT,14583,528937,DEBIT,MMT/IMPS/686986102135/idbihomeloan/axis/HDF,RFN14912022,2019-09-03
2019-09-04T015:08:14.000Z,M25256322,FT,12000,516937,DEBIT,MMT/IMPS/656496155428/rent/axis/HDF,RFN64058872,2019-09-04
2019-09-05T021:57:08.000Z,M81510743,FT,898,516039,DEBIT,VIN/beijingbites/063839626305/308831654398,RFN31837533,2019-09-05
2019-09-05T004:39:42.000Z,M37054836,FT,3500,519539,CREDIT,BIL/ONL/830440498368/994302139330/2953162090,RFN03377157,2019-09-05
2019-09-05T017:55:42.000Z,M76267606,FT,1680,517859,DEBIT,UPI/866253633787/order/bescom/upi,RFN41345116,2019-09-05
2019-09-06T006:59:33.000Z,M31855096,FT,459,517400,DEBIT,VPS/pvr/961673655629/649380358307/bangalore,RFN70117932,2019-09-06
2019-09-08T001:35:49.000Z,M69506810,FT,100,517300,DEBIT,UPI/144652303101/order/kwalitybazaar/ybl,RFN43050038,2019-09-08
2019-09-08T011:22:18.000Z,M38190333,FT,80,517220,DEBIT,UPI/651317676845/order/amul/okicici,RFN47235868,2019-09-08
2019-09-09T005:23:23.000Z,M98035297,FT,1299,515921,DEBIT,UPI/423391008799/order/ionbroadband/okicici,RFN78754428,2019-09-09
2019-09-12T009:48:29.000Z,M67876121,FT,420,515501,DEBIT,VPS/eatfit/314384298325/302429015818/BANGALORE,RFN57927492,2019-09-12
2019-09-12T008:39:37.000Z,M75304819,FT,14394,501107,DEBIT,IPS/cleartrip/790544643026/362238608671/BANGALORE,RFN83443543,2019-09-12
2019-09-15T008:13:00.000Z,M46572854,FT,150,500957,DEBIT,UPI/756118418283/order/bblunt/okicici,RFN46179963,2019-09-15
2019-09-17T021:34:15.000Z,M06319035,FT,1400,499557,DEBIT,VIN/bluo/819016286442/556322265141,RFN02286553,2019-09-17
2019-09-18T021:52:08.000Z,M49946991,FT,419,499138,DEBIT,UPI/417505069895/order/chaipoint/okhdfcbank,RFN08980610,2019-09-18
2019-09-18T005:04:04.000Z,M08863745,FT,350,498788,DEBIT,VIN/tatasky/742429291513/277375225434,RFN42927295,2019-09-18
2019-09-22T008:20:55.000Z,M17086932,FT,799,497989,DEBIT,IIN/I-Debit/netflix/688130038806/810514369875,RFN36512824,2019-09-22
2019-09-24T011:29:24.000Z,M58856524,FT,399,497590,DEBIT,VPS/pvr/990167312952/905548969125/Begaluru,RFN46306770,2019-09-24
2019-09-24T005:13:29.000Z,M73863679,FT,129,497461,DEBIT,UPI/674961797010/order/uber/oksbi,RFN14271183,2019-09-24
2019-09-28T023:46:09.000Z,M05551691,FT,5201,492260,DEBIT,ACH/indiafirstlifeinsurance/473998381/4963666525,RFN26567695,2019-09-28
2019-09-28T000:08:21.000Z,M16621703,FT,702,491558,DEBIT,UPI/629499821503/order/kwalitybazaar/okicici,RFN02447638,2019-09-28
2019-09-30T010:23:17.000Z,M54743307,FT,25005,466553,DEBIT,MMT/IMPS/306261064501/axisprivilegeccpmt/axis/KIN,RFN85099521,2019-09-30
2019-09-30T005:27:34.000Z,M79633977,FT,205,466348,DEBIT,UPI/537446518671/order/amazon/upi,RFN03906672,2019-09-30
2019-09-30T023:44:36.000Z,M06956732,FT,15542,450806,DEBIT,MMT/IMPS/738607658838/sbieliteccpmt/axis/SIB,RFN32959677,2019-09-30
2019-09-30T006:16:53.000Z,M04526987,ATM,10000,440806,DEBIT,ATM/GFCEA011/CASH WDL/2019-09-30,RFN44795357,2019-09-30
2019-10-01T000:56:04.000Z,M26492653,FT,150000,590806,CREDIT,salfintechproductsandsolutions October 2019,RFN95521451,2019-10-01
2019-10-01T002:08:30.000Z,M18181002,FT,3567,587239,DEBIT,ACH/maxlifeinsurance/857650067/5136262115,RFN16566360,2019-10-01
2019-10-01T003:59:00.000Z,M70916894,FT,11345,575894,DEBIT,MMT/IMPS/118654092314/pnbpersonalloan/axis/SIB,RFN69565690,2019-10-01
2019-10-01T022:53:53.000Z,M29166520,FT,5000,570894,DEBIT,BIL/BPAY/368847478836/motilaloswal/8748847068,RFN49739336,2019-10-01
2019-10-01T003:33:25.000Z,M90755282,FT,9000,561894,DEBIT,BIL/ONL/577405250429/principalmutualfund/2344847265,RFN89212722,2019-10-01
2019-10-02T007:32:00.000Z,M36689972,FT,560,561334,DEBIT,UPI/075516892159/order/kfc/oksbi,RFN27424025,2019-10-02
2019-10-03T002:17:17.000Z,M20346811,FT,560,560774,DEBIT,IPS/pvr/543823345690/401719210041/BANGALORE,RFN24600460,2019-10-03
2019-10-03T019:32:35.000Z,M21559991,FT,14583,546191,DEBIT,MMT/IMPS/006996191679/idbihomeloan/axis/SBIN,RFN50126246,2019-10-03
2019-10-04T021:55:55.000Z,M24759141,FT,12000,534191,DEBIT,MMT/IMPS/489889646590/rent/axis/BLR,RFN15536781,2019-10-04
2019-10-04T003:36:28.000Z,M64876783,FT,3500,530691,DEBIT,VIN/veromoda/438469260145/075455968558,RFN49205629,2019-10-04
2019-10-04T010:23:05.000Z,M36591507,FT,7500,523191,DEBIT,VIN/adidas/424140139412/511505038910,RFN64207266,2019-10-04
2019-10-04T015:58:12.000Z,M43521279,FT,280,522911,DEBIT,UPI/785479500895/order/uber/oksbi,RFN84818542,2019-10-04
2019-10-05T016:47:26.000Z,M77255052,FT,1140,521771,DEBIT,UPI/175722679002/order/bescom/oksbi,RFN25557673,2019-10-05
2019-10-07T015:41:06.000Z,M81623105,FT,2000,519771,DEBIT,VIN/indianoil/712511156487/814058572983,RFN89698122,2019-10-07
2019-10-08T009:56:38.000Z,M12586706,FT,1200,518571,DEBIT,UPI/894986065643/order/kwalitybazaar/okicici,RFN46710831,2019-10-08
2019-10-10T001:12:40.000Z,M55411983,FT,1299,517272,DEBIT,UPI/600083783003/order/ionbroadband/okhdfcbank,RFN20761761,2019-10-10
2019-10-12T006:36:42.000Z,M80580692,FT,130,517142,DEBIT,UPI/205223989083/order/amul/okhdfcbank,RFN24215337,2019-10-12
2019-10-12T014:28:44.000Z,M97559535,FT,1510,515632,DEBIT,IPS/beijingbites/577588159319/051837902328/BANGALORE,RFN30872768,2019-10-12
2019-10-12T001:43:52.000Z,M08004757,FT,1240,514392,DEBIT,UPI/906304157024/order/sugar/upi,RFN98390563,2019-10-12
2019-10-13T023:39:05.000Z,M55699283,FT,6599,507793,DEBIT,VIN/nolimmits/204185193736/074516582273,RFN30364179,2019-10-13
2019-10-13T007:08:44.000Z,M18344028,FT,830,506963,DEBIT,UPI/055522031340/order/uber/ybl,RFN98240105,2019-10-13
2019-10-14T011:39:00.000Z,M60878993,FT,180,506783,DEBIT,UPI/008410724878/order/amul/okicici,RFN79729609,2019-10-14
2019-10-14T008:02:13.000Z,M08846217,FT,100,506683,DEBIT,UPI/963800165202/order/amul/ybl,RFN03503791,2019-10-14
2019-10-18T000:51:36.000Z,M12997721,FT,350,506333,DEBIT,VIN/tatasky/460566441998/805424667162,RFN32447753,2019-10-18
2019-10-22T020:14:05.000Z,M30473719,FT,799,505534,DEBIT,IIN/I-Debit/netflix/343521665246/942681297082,RFN01498685,2019-10-22
2019-10-24T003:00:09.000Z,M30386741,FT,299,505235,DEBIT,VPS/pvr/780762122776/950523748720/BANGALORE,RFN04181333,2019-10-24
2019-10-25T013:42:16.000Z,M21420180,FT,270,504965,DEBIT,UPI/387421577311/order/swiggy/oksbi,RFN02988267,2019-10-25
2019-10-26T007:40:40.000Z,M51788549,FT,2700,502265,DEBIT,VIN/indianoil/123858957650/834826013428,RFN90131293,2019-10-26
2019-10-26T019:18:59.000Z,M50781402,FT,2021,504286,CREDIT,BIL/BPAY/896255156419/233488841023/7993463050,RFN61347534,2019-10-26
2019-10-28T010:18:54.000Z,M70623062,FT,5201,499085,DEBIT,ACH/indiafirstlifeinsurance/546626237/6114074043,RFN19840566,2019-10-28
2019-10-28T006:37:52.000Z,M18704710,FT,2001,497084,DEBIT,UPI/363656178813/order/decathlon/ybl,RFN63471065,2019-10-28
2019-10-28T014:59:28.000Z,M20239982,FT,1900,495184,DEBIT,IPS/dentistclinic/181685415908/094379781194/BANGALORE,RFN40784856,2019-10-28
2019-10-31T003:24:07.000Z,M66971714,FT,25005,470179,DEBIT,MMT/IMPS/068567025374/axisprivilegeccpmt/axis/HDF,RFN55756407,2019-10-31
2019-10-31T000:58:25.000Z,M32477642,FT,15542,454637,DEBIT,MMT/IMPS/372936975222/sbieliteccpmt/axis/BLR,RFN17583751,2019-10-31
2019-11-01T018:51:41.000Z,M96712754,FT,150000,604637,CREDIT,salfintechproductsandsolutions November 2019,RFN16458907,2019-11-01
2019-11-01T022:51:05.000Z,M25387717,FT,3567,601070,DEBIT,ACH/maxlifeinsurance/559613218/0017809020,RFN88786798,2019-11-01
2019-11-01T006:56:14.000Z,M06614008,FT,11345,589725,DEBIT,MMT/IMPS/523560848743/pnbpersonalloan/axis/BLR,RFN65844308,2019-11-01
2019-11-01T013:08:20.000Z,M40394623,FT,5000,584725,DEBIT,BIL/INF/555804435355/motilaloswal/6669052138,RFN67145210,2019-11-01
2019-11-01T014:50:59.000Z,M59473571,FT,9000,575725,DEBIT,BIL/INF/062912918565/principalmutualfund/4885673539,RFN02516367,2019-11-01
2019-11-02T015:10:06.000Z,M17563193,FT,70,575655,DEBIT,UPI/117640927536/order/amul/upi,RFN57394210,2019-11-02
2019-11-03T001:36:26.000Z,M23071749,FT,2730,572925,DEBIT,IPS/spencers/162510161099/694264105775/BANGALORE,RFN33762956,2019-11-03
2019-11-03T022:57:57.000Z,M58971940,FT,14583,558342,DEBIT,MMT/IMPS/728325131397/idbihomeloan/axis/KIN,RFN00604830,2019-11-03
2019-11-04T002:51:46.000Z,M80441950,FT,12000,546342,DEBIT,MMT/IMPS/529208156179/rent/axis/SBIN,RFN83719652,2019-11-04
2019-11-04T011:41:09.000Z,M22040044,FT,890,545452,DEBIT,VIN/kfc/525315259682/291137837986,RFN61726364,2019-11-04
2019-11-04T013:12:11.000Z,M99424520,FT,799,544653,DEBIT,VIN/bblunt/259353487590/304227905113,RFN56701651,2019-11-04
2019-11-05T021:31:57.000Z,M26448057,FT,2999,541654,DEBIT,UPI/327045124247/order/indianoil/okhdfcbank,RFN61384844,2019-11-05
2019-11-05T002:52:39.000Z,M40090946,FT,1654,540000,DEBIT,UPI/347250133142/order/bescom/okhdfcbank,RFN63641459,2019-11-05
2019-11-07T012:45:57.000Z,M77708724,FT,1500,538500,DEBIT,VIN/indianoil/259368809074/980054967123,RFN04728654,2019-11-07
2019-11-08T017:53:40.000Z,M13160547,FT,240,538260,DEBIT,UPI/774161565509/order/kwalitybazaar/okaxis,RFN18178931,2019-11-08
2019-11-11T019:29:12.000Z,M49335392,FT,1299,536961,DEBIT,UPI/610127508267/order/ionbroadband/upi,RFN31653980,2019-11-11
2019-11-10T019:56:40.000Z,M32057858,FT,399,536562,DEBIT,UPI/739984734063/order/jio/okhdfcbank,RFN40408649,2019-11-10
2019-11-12T021:07:24.000Z,M44243577,FT,333,536229,DEBIT,UPI/380201673347/order/uber/upi,RFN39415039,2019-11-12
2019-11-12T011:15:26.000Z,M38359843,FT,2508,533721,DEBIT,IPS/gilly's/004755484016/804567812082/BANGALORE,RFN49899977,2019-11-12
2019-11-12T021:26:00.000Z,M62980820,FT,339,533382,DEBIT,UPI/515036487424/order/uber/oksbi,RFN42189980,2019-11-12
2019-11-15T011:11:36.000Z,M38540690,FT,130,533252,DEBIT,UPI/618292732292/order/1mg/upi,RFN25689177,2019-11-15
2019-11-15T007:51:44.000Z,M05854985,FT,3019,536271,CREDIT,BIL/BPAY/480639756105/94320092/4792530273,RFN71224808,2019-11-15
2019-11-18T020:59:13.000Z,M07658116,FT,2019,534252,DEBIT,UPI/452349118206/order/oriflame/oksbi,RFN73986628,2019-11-18
