transactionTimestamp,txnId,mode,amount,balance,type,narration,reference,valueDate
2019-08-01T002:04:58.000Z,M57120180,FT,120000,539769,CREDIT,salfintechproductsandsolutions August 2019,RFN73916208,2019-08-01
2019-08-01T007:39:03.000Z,M47427964,FT,3567,536202,DEBIT,ACH/maxlifeinsurance/897211057/6619269612,RFN97406535,2019-08-01
2019-08-01T012:11:41.000Z,M61154713,FT,12000,524202,DEBIT,BIL/INF/001424551786/motilaloswal/9149045647,RFN53648712,2019-08-01
2019-08-01T001:14:52.000Z,M26536629,FT,10000,514202,DEBIT,BIL/ONL/341858062951/principalmutualfund/8505785861,RFN31065321,2019-08-01
2019-08-01T018:36:07.000Z,M60871976,FT,11345,502857,DEBIT,MMT/IMPS/626443076866/pnbpersonalloan/axis/KIN,RFN53842741,2019-08-01
2019-08-02T003:22:25.000Z,M50599646,FT,50,502807,DEBIT,UPI/712998562793/order/amul/upi,RFN99446358,2019-08-02
2019-08-03T011:02:03.000Z,M29976989,FT,2231,500576,DEBIT,IPS/spencers/303003707594/955355148484/BANGALORE,RFN72599108,2019-08-03
2019-08-03T012:52:21.000Z,M18286331,FT,8832,491744,DEBIT,MMT/IMPS/441123495904/idbihomeloan/axis/HDF,RFN19679307,2019-08-03
2019-08-04T016:12:07.000Z,M51755028,FT,12000,479744,DEBIT,MMT/IMPS/737695731150/rent/axis/SBIN,RFN29135409,2019-08-04
2019-08-04T000:33:30.000Z,M74443345,FT,242,479502,DEBIT,VIN/burgerking/227033744554/707875251944,RFN18697958,2019-08-04
2019-08-05T020:13:53.000Z,M57830548,FT,330,479172,DEBIT,UPI/511989814769/order/uber/ybl,RFN80436941,2019-08-05
2019-08-05T016:11:46.000Z,M95455202,FT,1380,477792,DEBIT,UPI/996116376562/order/bescom/ybl,RFN78990551,2019-08-05
2019-08-07T002:20:16.000Z,M40306716,FT,1500,476292,DEBIT,VIN/indianoil/418855621584/642726353654,RFN59658774,2019-08-07
2019-08-08T005:05:45.000Z,M16170574,FT,200,476092,DEBIT,UPI/203871556591/order/kwalitybazaar/oksbi,RFN50628598,2019-08-08
2019-08-09T010:14:57.000Z,M50550296,FT,1299,474793,DEBIT,UPI/960072239991/order/ionbroadband/okicici,RFN65320795,2019-08-09
2019-08-10T019:53:23.000Z,M84231423,FT,399,474394,DEBIT,UPI/610552077631/order/jio/okicici,RFN18752871,2019-08-10
2019-08-12T021:56:08.000Z,M44303689,FT,3289,471105,DEBIT,VPS/veromoda/379324961288/260014693958/BANGALORE,RFN31095058,2019-08-12
2019-08-12T015:48:51.000Z,M70167978,FT,1110,469995,DEBIT,IPS/beijingbites/876140374767/210625433926/BANGALORE,RFN22584078,2019-08-12
2019-08-15T020:32:08.000Z,M64758529,FT,180,469815,DEBIT,UPI/185218463637/order/amul/oksbi,RFN10414081,2019-08-15
2019-08-18T000:57:43.000Z,M84649300,FT,419,469396,DEBIT,UPI/634318832206/order/1mg/ybl,RFN57661270,2019-08-18
2019-08-18T022:25:19.000Z,M60177681,FT,350,469046,DEBIT,VIN/tatasky/654847883590/701732908746,RFN36989037,2019-08-18
2019-08-22T010:54:17.000Z,M03498191,FT,799,468247,DEBIT,IIN/I-Debit/netflix/016009110554/781282723024,RFN85277325,2019-08-22
2019-08-24T010:55:04.000Z,M62633533,FT,299,467948,DEBIT,VPS/pvr/154496212816/145063968874/BENGALURU,RFN45315957,2019-08-24
2019-08-25T007:20:44.000Z,M08355500,FT,150,467798,DEBIT,UPI/499984570083/order/amul/okhdfcbank,RFN21124555,2019-08-25
2019-08-28T001:27:15.000Z,M33787176,FT,99,467699,DEBIT,UPI/797255473929/order/kwalitybazaar/oksbi,RFN60331086,2019-08-28
2019-08-31T013:28:21.000Z,M88502543,FT,25005,442694,DEBIT,MMT/IMPS/735975766872/axispriviledgeccpmt/axis/SBIN,RFN43272890,2019-08-31
2019-08-31T020:29:48.000Z,M88189491,FT,15542,427152,DEBIT,MMT/IMPS/738383541900/sbieliteccpmt/axis/SIB,RFN26515878,2019-08-31
2019-09-01T023:04:39.000Z,M92318244,FT,120000,547152,CREDIT,salfintechproductsandsolutions September 2019,RFN28477451,2019-09-01
2019-09-01T013:44:27.000Z,M65949117,FT,3567,543585,DEBIT,ACH/maxlifeinsurance/314794451/0109776719,RFN55430936,2019-09-01
2019-09-01T021:19:02.000Z,M83202222,FT,11345,532240,DEBIT,MMT/IMPS/921814235895/pnbpersonalloan/axis/SBIN,RFN93330610,2019-09-01
2019-09-01T010:31:58.000Z,M42511483,FT,15000,517240,DEBIT,BIL/INF/795413312913/motilaloswal/8320017094,RFN81389023,2019-09-01
2019-09-01T003:22:30.000Z,M03520673,FT,10000,507240,DEBIT,BIL/INF/777084983781/principalmutualfund/8832905558,RFN85749752,2019-09-01
2019-09-03T008:01:45.000Z,M33639564,FT,80,507160,DEBIT,UPI/782953571229/order/skrolls/oksbi,RFN33297704,2019-09-03
2019-09-03T016:04:17.000Z,M16341746,FT,100,507060,DEBIT,UPI/634669165754/order/amul/upi,RFN50846814,2019-09-03
2019-09-03T002:42:53.000Z,M80215140,FT,1588,505472,DEBIT,IPS/spencers/755570592526/278073272221/BANGALORE,RFN60540708,2019-09-03
2019-09-03T012:01:31.000Z,M82610329,FT,8832,496640,DEBIT,MMT/IMPS/138053016152/idbihomeloan/axis/BLR,RFN45752389,2019-09-03
2019-09-04T018:18:10.000Z,M12666070,FT,12000,484640,DEBIT,MMT/IMPS/154684492582/rent/axis/SBIN,RFN88142810,2019-09-04
2019-09-05T012:05:02.000Z,M45940506,FT,898,483742,DEBIT,VIN/beijingbites/832132061341/929978151354,RFN19105981,2019-09-05
2019-09-05T021:44:14.000Z,M52825633,FT,3500,487242,CREDIT,BIL/BPAY/388471860270/994302139330/4602695167,RFN78717754,2019-09-05
2019-09-05T005:25:30.000Z,M24939938,FT,1680,485562,DEBIT,UPI/196480870961/order/bescom/oksbi,RFN24341490,2019-09-05
2019-09-06T019:53:12.000Z,M68233672,FT,459,485103,DEBIT,VPS/pvr/551347732317/408346400486/BLR,RFN31923025,2019-09-06
2019-09-08T008:40:47.000Z,M26678455,FT,100,485003,DEBIT,UPI/621660183953/order/kwalitybazaar/okhdfcbank,RFN07948971,2019-09-08
2019-09-08T023:48:55.000Z,M58113111,FT,80,484923,DEBIT,UPI/127308936834/order/amul/upi,RFN02830317,2019-09-08
2019-09-09T003:57:36.000Z,M86390411,FT,1299,483624,DEBIT,UPI/164411570299/order/ionbroadband/okhdfcbank,RFN67865068,2019-09-09
2019-09-12T010:40:18.000Z,M94446032,FT,420,483204,DEBIT,VPS/eatfit/011565646989/482533073787/bangalore,RFN13852869,2019-09-12
2019-09-12T002:50:13.000Z,M87200196,FT,14394,468810,DEBIT,IPS/cleartrip/102231357284/650012271056/BANGALORE,RFN06846441,2019-09-12
2019-09-15T011:47:41.000Z,M36755090,FT,150,468660,DEBIT,UPI/012768580357/order/bblunt/ybl,RFN19390352,2019-09-15
2019-09-17T007:14:47.000Z,M25268446,FT,1400,467260,DEBIT,VIN/bluo/477342536874/014432028238,RFN60134812,2019-09-17
2019-09-18T009:18:37.000Z,M00923724,FT,419,466841,DEBIT,UPI/274241920271/order/chaipoint/okicici,RFN09114197,2019-09-18
2019-09-18T022:41:32.000Z,M12728572,FT,350,466491,DEBIT,VIN/tatasky/003967408644/189949352552,RFN89636036,2019-09-18
2019-09-22T017:41:27.000Z,M24046385,FT,799,465692,DEBIT,IIN/I-Debit/netflix/335063981671/715618416707,RFN29440787,2019-09-22
2019-09-24T021:23:27.000Z,M68247886,FT,399,465293,DEBIT,VPS/pvr/673832170843/192133267653/Begaluru,RFN78062595,2019-09-24
2019-09-24T021:50:13.000Z,M98117838,FT,129,465164,DEBIT,UPI/390796438356/order/uber/okhdfcbank,RFN92755891,2019-09-24
2019-09-28T022:17:42.000Z,M23094394,FT,702,464462,DEBIT,UPI/058186755678/order/kwalitybazaar/okhdfcbank,RFN08391132,2019-09-28
2019-09-30T018:58:00.000Z,M33781758,FT,25005,439457,DEBIT,MMT/IMPS/288426415001/axispriviledgeccpmt/axis/KIN,RFN18825215,2019-09-30
2019-09-30T001:26:00.000Z,M02619175,FT,205,439252,DEBIT,UPI/302269046269/order/amazon/ybl,RFN70772759,2019-09-30
2019-09-30T022:59:45.000Z,M99217770,FT,15542,423710,DEBIT,MMT/IMPS/970406058049/sbieliteccpmt/axis/BLR,RFN12015874,2019-09-30
2019-09-30T020:49:58.000Z,M01521835,ATM,10000,413710,DEBIT,ATM/GVQRD453/CASH WDL/2019-09-30,RFN22352085,2019-09-30
2019-10-01T013:16:08.000Z,M88881956,FT,120000,533710,CREDIT,salfintechproductsandsolutions October 2019,RFN16471456,2019-10-01
2019-10-01T021:34:05.000Z,M15955512,FT,3567,530143,DEBIT,ACH/maxlifeinsurance/230561244/7726718697,RFN25359001,2019-10-01
2019-10-01T016:30:20.000Z,M39688204,FT,11345,518798,DEBIT,MMT/IMPS/633796622912/pnbpersonalloan/axis/BLR,RFN58449584,2019-10-01
2019-10-01T020:39:26.000Z,M03921428,FT,9000,509798,DEBIT,BIL/ONL/949007405855/motilaloswal/7632023445,RFN67586569,2019-10-01
2019-10-01T020:40:40.000Z,M47621759,FT,15000,494798,DEBIT,BIL/BPAY/029836277882/principalmutualfund/9213477142,RFN39915367,2019-10-01
2019-10-02T003:49:20.000Z,M88532222,FT,560,494238,DEBIT,UPI/063071629084/order/kfc/okicici,RFN32508948,2019-10-02
2019-10-03T022:28:46.000Z,M20627434,FT,560,493678,DEBIT,IPS/pvr/959214951204/111612888472/BANGALORE,RFN43133880,2019-10-03
2019-10-03T004:03:25.000Z,M22406774,FT,8832,484846,DEBIT,MMT/IMPS/340275488020/idbihomeloan/axis/BLR,RFN17769515,2019-10-03
2019-10-04T018:36:13.000Z,M44171478,FT,12000,472846,DEBIT,MMT/IMPS/114251099794/rent/axis/HDF,RFN10023293,2019-10-04
2019-10-04T019:57:20.000Z,M93635908,FT,3500,469346,DEBIT,VIN/veromoda/534882050324/586587578233,RFN32372216,2019-10-04
2019-10-04T018:08:15.000Z,M93490861,FT,7500,461846,DEBIT,VIN/adidas/231571851958/092226664628,RFN47461605,2019-10-04
2019-10-04T000:56:14.000Z,M64700810,FT,280,461566,DEBIT,UPI/072374090733/order/uber/oksbi,RFN10195567,2019-10-04
2019-10-05T014:59:54.000Z,M15929257,FT,1140,460426,DEBIT,UPI/758840332149/order/bescom/okhdfcbank,RFN88067073,2019-10-05
2019-10-07T013:48:37.000Z,M50560568,FT,2000,458426,DEBIT,VIN/indianoil/595970721592/422407469283,RFN85502310,2019-10-07
2019-10-08T006:14:56.000Z,M34822687,FT,1200,457226,DEBIT,UPI/495634862114/order/kwalitybazaar/okicici,RFN57005831,2019-10-08
2019-10-10T004:33:12.000Z,M79653850,FT,1299,455927,DEBIT,UPI/343297749779/order/ionbroadband/oksbi,RFN11295484,2019-10-10
2019-10-12T003:10:29.000Z,M41272146,FT,130,455797,DEBIT,UPI/614036325609/order/amul/oksbi,RFN88045602,2019-10-12
2019-10-12T000:05:11.000Z,M60384975,FT,1510,454287,DEBIT,IPS/beijingbites/688696122804/020201117286/BANGALORE,RFN49049680,2019-10-12
2019-10-12T023:09:21.000Z,M28379306,FT,1240,453047,DEBIT,UPI/354834808087/order/sugar/okhdfcbank,RFN11343609,2019-10-12
2019-10-13T001:18:42.000Z,M81446552,FT,6599,446448,DEBIT,VIN/nolimmits/974174758458/837141338191,RFN46851396,2019-10-13
2019-10-13T023:46:32.000Z,M77542651,FT,830,445618,DEBIT,UPI/193573393488/order/uber/ybl,RFN77470685,2019-10-13
2019-10-14T001:48:14.000Z,M74606091,FT,180,445438,DEBIT,UPI/427694552203/order/amul/ybl,RFN62401650,2019-10-14
2019-10-14T001:50:02.000Z,M77347914,FT,100,445338,DEBIT,UPI/870393589565/order/amul/okhdfcbank,RFN35552316,2019-10-14
2019-10-18T008:45:48.000Z,M80234983,FT,350,444988,DEBIT,VIN/tatasky/044548172067/675707990072,RFN15324218,2019-10-18
2019-10-22T002:46:13.000Z,M50059289,FT,799,444189,DEBIT,IIN/I-Debit/netflix/856309311344/850838400090,RFN45236342,2019-10-22
2019-10-24T012:08:52.000Z,M84482067,FT,299,443890,DEBIT,VPS/pvr/712181493437/821259292551/bangalore,RFN71445478,2019-10-24
2019-10-25T012:19:38.000Z,M32578168,FT,270,443620,DEBIT,UPI/703233627398/order/swiggy/ybl,RFN25953441,2019-10-25
2019-10-26T012:10:59.000Z,M58769962,FT,2700,440920,DEBIT,VIN/indianoil/726697332976/309872062958,RFN18274261,2019-10-26
2019-10-26T003:49:07.000Z,M01900191,FT,2021,442941,CREDIT,BIL/ONL/204700880206/233488841023/4034413986,RFN98108433,2019-10-26
2019-10-28T012:46:37.000Z,M18690724,FT,2001,440940,DEBIT,UPI/261559359162/order/decathlon/ybl,RFN12123065,2019-10-28
2019-10-28T004:06:24.000Z,M04367201,FT,1900,439040,DEBIT,IPS/dentistclinic/124091096267/501885103096/BANGALORE,RFN75466541,2019-10-28
2019-10-31T000:40:11.000Z,M65272443,FT,25005,414035,DEBIT,MMT/IMPS/344207222537/axispriviledgeccpmt/axis/SBIN,RFN49211298,2019-10-31
2019-10-31T014:04:25.000Z,M42620300,FT,15542,398493,DEBIT,MMT/IMPS/582567184252/sbieliteccpmt/axis/SBIN,RFN48620608,2019-10-31
