transactionTimestamp,txnId,mode,amount,balance,type,narration,reference,valueDate
2019-12-19T07:50:14.000Z,M3258741,UPI,1239.00,62289.25,DEBIT,UPI/935314560764/getsimpl/simpl@axisbank/Axis Bank,RFN00013383,2019-12-19
2019-12-20T13:26:12.000Z,M3917183,UPI,16.00,62073.25,DEBIT,UPI/935418465214/On tapping Pay/AMZN0002966107@/St,RFN00038195,2019-12-20
2019-12-21T03:44:47.000Z,M4246404,UPI,1432.00,60641.25,DEBIT,UPI/935511799557/On tapping Pay/ola.money1@axis/Ax,RFN00050601,2019-12-21
2019-12-21T10:39:04.000Z,M5563288,OTHERS,710.50,45595.49,DEBIT,VIN/BBBP Bengal/201912220356/935522425140/ ,RFN00100225,2019-12-21
2019-12-22T04:44:59.000Z,M5892509,CARD,4101.00,41494.49,DEBIT,BIL/ONL/001876585007/State Bank/SBICARD_RICI833/SB,RFN00112631,2019-12-22
2019-12-22T04:48:12.000Z,M6221730,OTHERS,200.00,41294.49,DEBIT,GIB/000044233050/STAX /63900042212201900058 ,RFN00125037,2019-12-22
2019-12-25T06:04:44.000Z,M6550951,ATM,10000.00,31294.49,DEBIT,ATM/SECNQ998/CASH WDL/25-12-19 ,RFN00137443,2019-12-25
2019-12-30T03:01:47.000Z,M6880172,FT,2138.00,29156.49,DEBIT,ACH/TP Kotak Life Ins/1791288292 ,RFN00149849,2019-12-30
2019-12-30T04:26:44.000Z,M7209393,FT,330.00,28826.49,DEBIT,VIN/SWIGGY /201912301322/936407439400/ ,RFN00162255,2019-12-30
2019-12-30T07:45:04.000Z,M7867835,OTHERS,518.00,27228.49,CREDIT,000501523329:Int.Pd:30-09-2019 to 30-12-2019 ,RFN00187067,2019-12-30
2020-01-01T11:06:47.000Z,M8526277,FT,2097.44,24769.05,DEBIT,VIN/IRCTC /202001012059/000115145689/ ,RFN00211879,2020-01-01
2020-01-03T05:22:51.000Z,M9513940,FT,2024.55,22576.5,DEBIT,ACH/TP ExideLife/INGLife/1793513439 ,RFN00249097,2020-01-03
2020-01-04T19:43:17.000Z,M10501603,CARD,1297.00,21193.5,DEBIT,VPS/SWATHI HOSP/202001051605/000510633940/BANGALOR,RFN00286315,2020-01-05
2020-01-04T20:32:25.000Z,M11160045,CASH,5000.00,16176.5,DEBIT,NFS/KBL18213/CASH WDL/05-01-20 ,RFN00311127,2020-01-05
2020-01-06T17:41:18.000Z,M11489266,FT,5000.00,11176.5,DEBIT,BIL/BPAY/001888932102/BSE ISIP/BSE000000034260 ,RFN00323533,2020-01-06
2020-01-07T00:52:27.000Z,M11818487,FT,5000.00,6176.5,DEBIT,BIL/BPAY/001889944243/BSE ISIP/BSE000000034260 ,RFN00335939,2020-01-07
2020-01-07T01:53:34.000Z,M12147708,FT,5000.00,1176.5,DEBIT,BIL/BPAY/001889918950/MOTILAL OS/MODIRECT-B02925 ,RFN00348345,2020-01-07
2020-01-07T14:55:32.000Z,M12806150,FT,3062.00,3114.5,DEBIT,CMS/000599599606/AD_LIC__648652702 ,RFN00373157,2020-01-07
2020-01-09T01:23:11.000Z,M14452255,FT,464.00,31916.5,DEBIT,VIN/DISH TV IND/202001091516/000909100480/ ,RFN00435187,2020-01-09
