transactionTimestamp,txnId,mode,amount,balance,type,narration,reference,valueDate
2019-08-01T009:09:53.000Z,M76286556,FT,150000,539769,CREDIT,salfintechproductsandsolutions August 2019,RFN89641029,2019-08-01
2019-08-01T012:39:54.000Z,M46580318,FT,3567,536202,DEBIT,ACH/maxlifeinsurance/396417922/7471502728,RFN60198659,2019-08-01
2019-08-01T009:49:47.000Z,M23479444,FT,5000,531202,DEBIT,BIL/ONL/630122606082/motilaloswal/5356058284,RFN61938043,2019-08-01
2019-08-01T005:48:49.000Z,M45019871,FT,9000,522202,DEBIT,BIL/ONL/082876897051/principalmutualfund/2284176430,RFN44090258,2019-08-01
2019-08-01T000:29:41.000Z,M14713176,FT,11345,510857,DEBIT,MMT/IMPS/819718473217/pnbpersonalloan/axis/BLR,RFN64791200,2019-08-01
2019-08-02T017:44:24.000Z,M77915402,FT,50,510807,DEBIT,UPI/812245710641/order/amul/upi,RFN85203199,2019-08-02
2019-08-03T019:46:51.000Z,M52719168,FT,2231,508576,DEBIT,IPS/spencers/707162124847/571842432911/BANGALORE,RFN90634044,2019-08-03
2019-08-03T008:30:32.000Z,M15143660,FT,14583,493993,DEBIT,MMT/IMPS/848859383813/idbihomeloan/axis/SIB,RFN33801694,2019-08-03
2019-08-04T006:15:55.000Z,M93164734,FT,12000,481993,DEBIT,MMT/IMPS/604509997485/rent/axis/BLR,RFN30864431,2019-08-04
2019-08-04T016:49:33.000Z,M04862680,FT,242,481751,DEBIT,VIN/burgerking/154266572843/660580276483,RFN92569911,2019-08-04
2019-08-05T014:11:10.000Z,M64453498,FT,330,481421,DEBIT,UPI/917186416106/order/uber/upi,RFN50266621,2019-08-05
2019-08-05T006:03:15.000Z,M55753663,FT,1380,480041,DEBIT,UPI/451639070455/order/bescom/okaxis,RFN62302913,2019-08-05
2019-08-07T000:22:42.000Z,M48126707,FT,1500,478541,DEBIT,VIN/indianoil/042058443125/493851026694,RFN97033233,2019-08-07
2019-08-08T002:35:02.000Z,M72799685,FT,200,478341,DEBIT,UPI/632403497106/order/kwalitybazaar/okaxis,RFN96925397,2019-08-08
2019-08-09T018:29:55.000Z,M76311781,FT,1299,477042,DEBIT,UPI/061384951603/order/ionbroadband/okhdfcbank,RFN19024553,2019-08-09
2019-08-10T014:21:36.000Z,M37452988,FT,399,476643,DEBIT,UPI/137529468491/order/jio/upi,RFN13785054,2019-08-10
2019-08-12T013:26:00.000Z,M24744818,FT,3289,473354,DEBIT,VPS/veromoda/653932469482/372139863314/BANGALORE,RFN72558628,2019-08-12
2019-08-12T015:44:34.000Z,M42632880,FT,1110,472244,DEBIT,IPS/beijingbites/804398888251/363033573457/BANGALORE,RFN10620226,2019-08-12
2019-08-15T015:17:52.000Z,M34718675,FT,180,472064,DEBIT,UPI/687900902232/order/amul/okaxis,RFN03570307,2019-08-15
2019-08-18T011:48:04.000Z,M82585579,FT,419,471645,DEBIT,UPI/565522170197/order/1mg/okicici,RFN29834866,2019-08-18
2019-08-18T015:15:23.000Z,M77608604,FT,350,471295,DEBIT,VIN/tatasky/693745791889/243404116417,RFN94710970,2019-08-18
2019-08-22T016:59:04.000Z,M71560249,FT,799,470496,DEBIT,IIN/I-Debit/netflix/707266544044/702060430869,RFN67872209,2019-08-22
2019-08-24T011:20:03.000Z,M23076420,FT,299,470197,DEBIT,VPS/pvr/704876744412/317128816899/BANGALORE,RFN59950387,2019-08-24
2019-08-25T001:12:34.000Z,M32114105,FT,150,470047,DEBIT,UPI/618517696860/order/amul/ybl,RFN13403010,2019-08-25
