Brand_name,Category,Min,Max
Airtel (Bharti Air),Bills,21,400
Jio,Bills,21,400
Amul,Foods and Drinks,50,300
Spencers,Groceries,100,2000
Reliance Fresh,Groceries,100,1500
Kwality Bazaar ,Groceries,100,1000
Shopper Stop,Shopping,800,5000
Reliance Digital,Shopping,1000,80000
Louis Philippe,Shopping,800,2000
Arrow,Shopping,1000,3000
Van Heusen,Shopping,1000,3000
Allen Solly,Shopping,800,2500
Casio,Shopping,4000,9000
Peter England,Shopping,1000,2000
Dunkin Donuts,Foods and Drinks,150,500
KFC,Foods and Drinks,150,600
Mc Donalds,Foods and Drinks,150,600
Taco Bell,Foods and Drinks,150,600
Nykaa,Shopping,800,2000
Zara,Shopping,900,3000
Starbucks,Foods and Drinks,300,700
Burger King,Foods and Drinks,100,500
Game The Shop,Shopping,500,2000
CEX,Shopping,1000,30000
Jockey,Shopping,500,2000
Hamleys,Shopping,500,3000
American Tourister,Shopping,1000,5000
Manyavar,Shopping,3000,9000
Raymond,Shopping,1000,7000
Bose,Shopping,10000,20000
Land Mark,Shopping,100,10000
H&M,Shopping,800,3000
Sony,Shopping,2000,9000
Samsonite,Shopping,1000,5000
Skechers,Shopping,1500,6000
Nike,Shopping,1500,6000
Pepe Jeans,Shopping,1500,6000
Jack and Jones,Shopping,700,3000
Lens Kart,Shopping,1000,8000
Lenovo,Shopping,20000,50000
Croma,Shopping,500,50000
Lacoste,Shopping,1000,3000
iPlanet,Shopping,3000,60000
Gap,Shopping,1000,5000
Fastrack,Shopping,1000,4000
Samsung,Shopping,2000,60000
Miniso,Shopping,100,3000
Mi Store,Shopping,1000,20000
Chumbak,Shopping,300,3000
Ramaiah Hospital,Health,500,3000
PVR,Entertainment,250,600
Inox,Entertainment,250,600
Cinepolis,Entertainment,250,600
Apollo Pharmacy,Health,100,1000
Bata,Shopping,600,2500
Being Human,Shopping,500,3000
Fitbit,Shopping,9000,15000
Amazon (AMZN),Shopping,150,30000
PatymMall,Shopping,150,30000
Flipkart,Shopping,150,30000
Myntra,Shopping,150,30000
Zoomcar,Travel,800,6000
HP World,Shopping,20000,50000
Vogo,Travel,50,300
Bounce,Travel,20,300
Gilly's,Foods and Drinks,400,3000
Plated,Foods and Drinks,400,2000
Plan B,Foods and Drinks,400,3000
Smally's,Foods and Drinks,300,1200
Smoke House,Foods and Drinks,500,3000
Chin lung,Foods and Drinks,400,2500
Sherlock's Pub,Foods and Drinks,500,3000
Sarjapur Social,Foods and Drinks,500,3000
No Limmits,Foods and Drinks,1000,3000
Nandi Hangout,Foods and Drinks,500,2500
Zomato,Foods and Drinks,100,1500
Swiggy,Foods and Drinks,100,1500
Dominos,Foods and Drinks,500,2000
Tawa Tandoor,Foods and Drinks,500,1500
Burp,Foods and Drinks,500,1500
Vinny's,Foods and Drinks,500,1500
Chapter One,Foods and Drinks,500,3000
Cuppa ,Foods and Drinks,500,1500
Polar Bear,Foods and Drinks,300,1200
Beijing Bites,Foods and Drinks,300,1200
Mr Goofy's,Foods and Drinks,300,1200
Stoned Monkey,Foods and Drinks,300,1200
Leon Grill,Foods and Drinks,300,1200
Adidas,Shopping,2000,6000
Reebok,Shopping,2000,6000
Fortis Hospital,Health,500,10000
Narayana Hospital,Health,500,8000
Sky Bags,Shopping,800,6000
Bangalore Central,Shopping,500,5000
Tanishq,Shopping,2000,50000
Poorvika Mobile,Shopping,4000,10000
Aabushan,Shopping,3000,70000
Ray Ban,Shopping,3000,10000
Bluo,Entertainment,300,1200
Smaash,Entertainment,300,1200
Titan Eye Plus,Shopping,1000,8000
Tissot,Shopping,5000,10000
USPA,Shopping,1000,3000
Vans,Shopping,1800,4000
VIP,Shopping,800,6000
Make My Trip,Travel,500,15000
Go Ibibo,Travel,500,15000
Clear Trip,Travel,500,15000
5 Computers,Shopping,20000,60000
Canon,Shopping,20000,50000
Spar Hypermarket,Groceries,50,2000
Reliance Jewels,Shopping,1000,30000
SK Rolls,Foods and Drinks,50,150
Crossword ,Shopping,100,2000
O2 Spa,Personal Care,1000,2000
Super Dry,Shopping,1000,3000
Only,Shopping,500,2500
Biba,Shopping,700,2500
Paypal,Transfer,10,3000
Bharat Petroleum,Fuel,100,2000
Indian Oil,Fuel,100,2000
Hindustan Petroleum,Fuel,100,2000
Shell,Fuel,100,2000
IRCTC,Travel,500,1500
Uber,Travel,200,600
Ola ,Travel,200,600
Meru Cabs,Travel,200,900
Skull Candy,Shopping,800,3000
Kaya Skin Clinic,Personal Care,200,1800
Hairspeak,Personal Care,200,1800
